MED_DIRECTIONS,FREQUENCY
1 tablet by mouth daily,512238
1 tablet by mouth twice a day,134481
1 capsule by mouth daily,77566
1 tab by mouth daily,53193
1 tablet by mouth every evening at bedtime,46940
one tablet by mouth daily,38224
by mouth as needed,37599
1 capsule by mouth twice a day,34533
(Also Known As Norvasc) 1 tablet by mouth daily,27515
2 puffs from the inhaler twice a day,25896
(Also Known As Lipitor) 1 tablet by mouth daily,25807
one by mouth daily,25787
10mg by mouth daily,25681
(Also Known As Prilosec) 1 capsule by mouth daily,24748
20mg by mouth daily,23970
2 spray in each nostril daily,23904
1 tablet by mouth three times a day,23120
81mg by mouth daily,22762
2 sprays in each nostril daily,22583
40mg by mouth daily,22499
(Also Known As Lipitor) 1 tablet by mouth every evening at bedtime,22448
2 tablets by mouth daily,22198
1 by mouth daily,21589
(Also Known As Mobic) 1 tablet by mouth daily,21126
1 tablet by mouth every 6 hours as needed for pain,19569
1 tablet by mouth twice a day for 10 days,19473
once daily by mouth,18841
(Also Known As Cozaar) 1 tablet by mouth daily,18833
1 tablet by mouth daily for 28 days,18314
10mg 1 tablet by mouth daily,17537
(Also Known As Coreg) 1 tablet by mouth twice a day,17295
1 spray in each nostril daily,16670
81mg 1 tablet by mouth daily,16209
take as directed,16036
1 tablet by mouth every morning,15801
(Also Known As Zoloft) 1 tablet by mouth daily,15427
one tab by mouth daily,15178
(Also Known As Flonase) 2 spray in each nostril daily,15167
10 mg by mouth daily,15076
1 tablet by mouth daily for 84 days,14901
81 mg by mouth daily,14859
20 mg by mouth daily,14410
20mg 1 tablet by mouth daily,14287
one tablet daily,14281
1 tablet by mouth every 6 hours for 3 days as needed for pain,14212
apply a thin layer to the affected area(s) by topical route 2 times per day,14161
40mg 1 tablet by mouth daily,14085
40 mg by mouth daily,13802
2 tablets by mouth twice a day,13461
1 tablet by mouth once daily,13385
"81 mg orally once daily, in the morning",13121
(Also Known As Neurontin) 1 capsule by mouth three times a day,13115
(Also Known As Toprol XL) 1 tablet by mouth daily,13049
4000 milliliters by mouth one time only,12773
(Also Known As Lasix) 1 tablet by mouth daily,12768
take 2 tablets (500 mg) by oral route once daily for 1 day then 1 tablet (250 mg) by oral route once daily for 4 days,12662
(Also Known As Celexa) 1 tablet by mouth daily,12587
(Also Known As Plavix) 1 tablet by mouth daily,12060
2 sprays in each nostril twice a day,11850
(Also Known As Aldactone) 1 tablet by mouth daily,11628
1 tablet by mouth every 12 hours,11491
1 tablet by mouth every 6 hours for 5 days as needed for pain,11340
2 puffs from the inhaler every 4 hours as needed for wheezing,11248
5mg by mouth daily,11128
(Also Known As Flonase) 2 sprays in each nostril daily,10889
(Also Known As Zestril) 1 tablet by mouth daily,10869
by mouth once daily,10838
1 tablet by mouth every 6 hours for 7 days as needed for pain,10627
1 puff from the inhaler twice a day,10604
(Also Known As Protonix) 1 tablet by mouth daily,10309
1 tablet by mouth every 4 hours as needed for pain,10271
100mg by mouth daily,9929
1 tablet by mouth twice a day for 7 days,9820
0.5 tablet by mouth daily,9722
1 tablet by mouth daily as needed,9685
(Also Known As Lexapro) 1 tablet by mouth daily,9625
(Also Known As Glucophage) 1 tablet by mouth twice a day,9592
(Also Known As Singulair) 1 tablet by mouth daily,9340
2 puffs from the inhaler every 4 hours as needed,9204
10mg 1 tab by mouth daily,9120
1 capsule by mouth twice a day for 10 days,9084
(Also Known As Zocor) 1 tablet by mouth every evening at bedtime,9064
10 mg 1 tablet by mouth daily,9039
1 capsule by mouth every week,9015
25mg by mouth daily,8999
81 mg 1 tablet by mouth daily,8823
inhaler as needed,8586
50mg by mouth daily,8548
1 tablet by mouth every 6 hours as needed for nausea,8369
(Also Known As Augmentin) 1 tablet by mouth twice a day for 10 days,8241
